context,answer
ما هي نسبة الأشخاص الذين يعيشون بمفردهم ويبلغون من العمر 65 عامًا أو أكثر في تاتومس؟,13.4%
ما هو متوسط حجم الأسرة المعيشية في تاتومس؟,2.57
ما هو متوسط حجم العائلات في تاتومس؟,3.22
ما هو العمر الوسطي للسكان في تاتومس؟,39.2 عاماً
ما هي نسبة السكان في تاتومس حسب الفئات العمرية المختلفة؟,كانت نسبة 29.1% من القاطنين تحت سن الثامنة عشر، وكانت نسبة 8.1% بين الثامنة عشر والرابعة والعشرين عاماً، ونسبة 25% كانت واقعةً في الفئة العمرية ما بين الخامسة والعشرين والرابعة والأربعين عاماً، ونسبة 20.9% كانت ما بين الخامسة والأربعين والرابعة والستين، ونسبة 16.9% كانت ضمن فئة الخامسة والستين عاماً فما فوق
ما هي نسبة الذكور للإناث في تاتومس وفقًا لبعض الفئات العمرية؟,يوجد لكل 100 أنثى 93.3 ذكر، ويوجد لكل 100 أنثى في الثامنة عشر من عمرها فما فوق 76.8 ذكر
من هو إدو ساليس ؟,لاعب كرة قدم برازيلي
ما هو مركز اللاعب إدو ساليس ؟,الهجوم
متي ولد إدو ساليس ؟,6 أبريل 1990
أين ولد إدو ساليس ؟,كوريتيبا في البرازيل
ما هي الأندية التي لعب معها إدو ساليس ؟,أتلتيكو باراناينسي ونادي جوينفيل ونادي ميتالورغي روستافي
ما هي وظيفة جهاز السمع المحيطي لدى الإنسان؟,تفكيك الأصوات المعقدة مثل الكلام أو الموسيقا إلى نطاقات ضيقة التردد
ما هي الإشارات التي تستطيع إيصال المعلومات في نطاقات زمنية مختلفة؟,الإشارات الناتجة ضيقة النطاق
ما الذي يقترح وجوده في الدراسات عند دراسة الجوانب المختلفة للإدراك السمعي؟,وجود ثنائية بين إشارات «الغلاف الزمني»
من هو غونزالو سوسا؟,لاعب كرة قدم أرجنتيني
ما هو مركز لعب غونزالو سوسا؟,الهجوم
متي ولد غونزالو سوسا؟,4 يناير 2005
أين ولد غونزالو سوسا؟,سانتا في في الأرجنتين
مع أي نادي لعب غونزالو سوسا؟,نادي راسينغ
من هو ألكسندرو فيليبيد؟,ان لغويًا وعالمًا في فقه اللغة ورومانيًا.
متى ولد ألكسندرو فيليبيد؟,منذ 1 مايو 1859
ما هي درجة الأستاذية التي حصل عليها ألكسندرو فيليبيد؟,حصل على درجة الأستاذية في جامعة ياش
ما هو عمل ألكسندرو فيليبيد بعد حصوله على درجة الأستاذية؟,عمل بالتدريس في المدرسة الثانوية لعدة سنوات
متى بدأ فيليبيد العمل على قاموس روماني؟,عام 1898،
ما الذي استكمله ألكسندرو فيليبيد وفريقه في عام 1906؟,كان هو وفريقه قد أكملوا الأحرف الأربعة الأولى من الأبجدية قبل أن يتولى الآخرون المهمة.
ما هو العمل الرئيسي لألكسندرو فيليبيد؟,مجموعة واسعة من المصادر القديمة والأدلة اللغوية لتحليل التولد العرقي للرومانيين وتطور لغتهم.
ما الذي أنجزه طلاب ألكسندرو فيليبيد الذين دربهم؟,لكن نفذ الطلاب الذين دربهم أفكاره من خلال تشكيل مدرسة لغوية في جامعة ياش
ما هي الأصول العائلية لألكسندرو فيليبيد؟,أصل يوناني من جهة والده، ونشأت العائلة في ميليس، وهي قرية عند سفح جبل بيليون في ثيساليا.
ما هي المجالات التي درّسها ألكسندرو فيليبيد في جامعة ياش؟,أعطى دورات في تاريخ اللغة الرومانية، واللغويات العامة، واللاتينية المبتذلة، وفسيولوجيا الصوت البشري وأصل الرومانيين
ما هي أصول اللغة السريانية؟,(بالسريانية الشرقية: ، ؛ بالسريانية الغربية: ، )
ما العلاقة بين اللغة السريانية واللغة الآرامية؟,لغة سامية مشتقة من اللغة الآرامية
ما هو دور اللغة السريانية في توحيد طوائف الآشوريين/السريان/الكلدان؟,تعتبر السريانية اللغة الأم لطوائف الآشوريون/السريان/الكلدان المنتشرة بالعراق وسوريا خاصة، حيث أضحت من أهم العوامل التي تجمعهم
اسم اللغة الجديد؟,«اللغة السريانية»
متى كانت من عائلة اللغات السامية؟,في الألف الأول قبل الميلاد
ما هي اللغات التي استخدمها رجال الدين المسيحيين في كتاباتهم؟,اللغة السُريانية
ما هي بعض القبائل المنغولية المتنصرة التي استخدمت اللغة السريانية؟,القبائل المنغولية المتنصرة قديما ومسيحيو كيرالا بجنوب غرب الهند
ما هو تأثير الهجرة والتبادل التجاري والثقافي بين بلاد الشام وشبه الجزيرة العربية على اللغة السريانية واللغة العربية؟,يشير الباحثون إلى اتصال دائم بين اللغة السريانية واللغة العربية بنتيجة الهجرة والتبادل التجاري والثقافي بين بلاد الشام وشبه الجزيرة العربية
متى أصبحت اللغة العربية اللغة الرئيسية في بلاد الشام؟,العهد المملوكي
متى استخدمت السريانية كلغة التخاطب بين الموارنة في لبنان؟,أما في لبنان فقد ظلت السريانية لغة التخاطب بين الموارنة حتى القرن السادس عشر
ما هي المناطق التي لا تزال السريانية لغة التخاطب فيها في سوريا؟,يزال يستخدمها كلغة تخاطب في معلولا وقرى مجاورة لها شمال دمشق رغم أن بعض سكان هذه القرى مسلمون
أين تستخدم السريانية كلغة التخاطب في العراق؟,في المناطق والقرى ذات الغالبية السريانية/الكلدانية في الموصل ودهوك
ما هي أهمية اللغة السريانية في الديانة المسيحية؟,أولاً لأن يسوع المسيح قد تكلّم بالآرامية، التي تعتبر بمثابة اللغة الأم للسريانية، وثانيًا لأن العديد من كتابات آباء الكنيسة والتراث المسيحي قد حفظ بالسريانية، إلى جانب اللغة اليونانية، وفي الكنائس التي تتبع الطقس السرياني لا تزال تستخدم اللغة السريانية بشكل يومي في القداس الإلهي وعدد من العبادات الأخرى كلغة ليتورجية
لماذا يعتبر السريانية لغة الكتابات الدينية والتراث المسيحي؟,لأن يسوع المسيح قد تكلّم بالآرامية، التي تعتبر بمثابة اللغة الأم للسريانية، وثانيًا لأن العديد من كتابات آباء الكنيسة والتراث المسيحي قد حفظ بالسريانية، إلى جانب اللغة اليونانية
كيف يستخدم الطقس السرياني اللغة السريانية في القداس الإلهي؟,لا تزال تستخدم اللغة السريانية بشكل يومي في القداس الإلهي وعدد من العبادات الأخرى كلغة ليتورجية
ما هو دور اللغة السريانية في الاطلاع على الوثائق والمخطوطات القديمة؟,تبدو اللغة السريانية هامة للمنقبين والمؤرخين في الاطلاع على الوثائق والمخطوطات القديمة التي غالبًا ما كتبت بالسريانية أو الآرامية
ما هو الدليل الذي يشير إلى أن اللغة السريانية كانت لغة الأرواح والملائكة في الإسلام؟,في الإسلام يشير بعض الفقهاء أن السريانية هي لغة أهل القبور أمثال حافظ السيوطي وعلم الدين البلقيني الذي فسّر سبب ذلك بكون السريانية لغة الأرواح والملائكة، البعض الآخر منهم أمثال العثيمين نفى الرواية
كيف يمكن تقسيم اللغة السريانية؟,تقسم عمومًا إلى لهجتين وأبجديتين متقاربتين، الأولى السريانية الغربية نسبة إلى غرب نهر الفرات والثانية هي السريانية الشرقية نسبة إلى شرق نهر الفرات وبنوع خاص إلى الرها
ما هي الحركات الإعرابية التي توجد في السريانية؟,تحوي حركات إعرابية تختلف بين السريانية الغربية والسريانية الشرقية أشهرها خمسة تفيد في المد والقصر وحروف العلة.
هل تختلف بين اللهجتين الغربية والشرقية؟,"تختلف بين السريانية الغربية والسريانية الشرقية أشهرها خمسة تفيد في المد والقصر وحروف العلة.
كسائر اللغات السامية فإن اللغة السريانية تكتب من اليمين إلى اليسار ومن أعلى الصفحة إلى أسفلها"
كيف يتم كتابة اللغة السريانية؟,من اليمين إلى اليسار ومن أعلى الصفحة إلى أسفلها
كيف اكتسبت اللغة السريانية أهمية في العلوم والفنون والآداب؟,ردحًا طويلاً من الزمن لغة العلوم والفنون والآداب، خصوصًا في مدينة الرها والتي نشأت بها بنوع خاص
ما هي نماذج الانتقال الحلزوني - الملف (Helix–coil transition models) وكيف تستخدم في وصف مطابقة البوليمرات الخطية في المحلول؟,عادةً ما يتم تطبيق النماذج ولكن لا يتم تطبيقها حصريًا على كمقياس للجزء النسبي من الجزيء في التشكل اللولبي ألفا مقابل الدوران أو الملف العشوائي
لماذا يعد تحقيق تكوين حلزون ألفا في البروتين محورًا مهمًا للدراسة؟,تحتوي معظم نماذج الملف اللولبي على معلمات لاحتمالية نواة اللولب
ما هي السمات الرئيسية لنماذج الملف اللولبي وكيف يمكن أن تسهم في فهم خصائص البروتينات؟,أن المرء يواجه العديد من سمات طي البروتين ولكن في أبسط نسختها
ما هي العوامل التي تؤثر على طاقة مضيف عديد ألانين الحلزون في محلول مائي وكيف يمكن حسابها؟,طاقة مضيف عديد ألانين الحلزون في محلول مائي: formula_1 حيث m عدد البقايا في اللولب
كيف يتم قياس اتجاهات بوليببتيدات وكيف يؤثر ذلك على تقديرات انتشار اللولب في نماذج الملف اللولبي؟,لأن بولي ببتيدات اتجاهية ولها نهايات N-terminal و C-terminal مميزة، فقد تختلف معطيات الانتشار في كل اتجاه
ما هي نماذج الانتقال الحلزوني - الملف (Helix–coil transition models) ؟,تقنيات رسمية في الميكانيكا الإحصائية تم تطويرها لوصف مطابقة البوليمرات الخطية في المحلول
ما هو اليوم الذي يوافق يونيو 11  \ حُزيران ؟,اليوم الحادي عشر من الشهر السادس) هو اليوم الثاني والستون بعد المئة (162
كم عدد الأيام المتبقية لانتهاء السنة بعد يونيو  11  \ حُزيران ؟,يبقى بعده 203 يوما لانتهاء السنة
كم عدد الأيام بعد المئة في السنة الكبيسة؟,اليوم الثالث والستون بعد المئة (163)
ما هو التقويم الغربي المستخدم في هذا النص؟,للتقويم الميلادي الغربي (الغريغوري
من هو أسعد مصطفى ؟,ممثل مصري
أسعد مصطفى ما هو دوره في مجال التمثيل؟,غالبا دور الفلاح
متى بدأ مشواره الفني ؟,في الأربعينيات
ما هي الدور التي اشتهر بها في الأربعينيات؟,غالبا دور الفلاح
"ما هو دور الخولي الذي لمع فيه أسعد مصطفى في فيلم ""تمر حنة""؟",الذي ينصح الباشا سراج منير بالزواج من تمر حنه
ما المسلسلات التى شارك فيها؟,1959 مسلسل «وحش البراري» للمخرج فايق إسماعيل عام 1965 مسلسل «عادات وتقاليد» للمخرج حمادة عبد الوهاب عام 1972
"ما هو معنى ""سهول موآب""؟",المناطق الجافة من موآب’
"في أي كتب من الكتاب المقدس العبري يُذكر اسم ""سهول موآب""؟",في ثلاثة كتب من الكتاب المقدس العبري (الأرقام والتثنية ويشوع)
ما هو المكان الذي توفي فيه موسى في سهول موآب؟,هنا المحطة الأخيرة للخروج والمكان الذي يصعد منه موسى على جبل نيبو “إلى قمة بسجة”
كيف يُصف شكل سهول موآب؟,يصف نيلسون جلوك سهول موآب بأنها على شكل “قيثارة مقطوعة”
ما هي الأنهار الثلاثة الرئيسية التي تعبر سهول موآب نحو الأردن؟,وادي نمرين ، والذي يسمى قبل ظهوره من التلال وادي شعيب ؛ وادي الكفرين ؛ ووادي الرماح
ما هي المنطقة التي عاد إليها إسرائيليون من المنفى البابلي؟,في موقع بيت نمرة القديم
ما هي المدينة التي كان يُشير إليها إسرائيليون بأبعد نقطة شرقية للاستيطان اليهودي في الأردن؟,كانت مدينتهم تشير إلى أبعد نقطة شرقية للاستيطان
"ما هي لغة نشر صحيفة ""ماغوك سواغ""؟",بـاللغة الفرنسية.
"متى تم إطلاق صحيفة ""ماغوك سواغ""؟",يوم 10 نوفمبر 2005
"من هو رئيس مجموعة ""ماغوك سواغ""؟",عثمان العمير
"ما هي صحيفة ""ماغوك سواغ""؟",هي صحيفة مغربية مسائية، تُنشر بـاللغة الفرنسية.
"ما هي تاريخ بداية صحيفة تحمل نفس الاسم التي كانت قبل ""ماغوك سواغ"" الحالية؟",عام 1902
أين يقع مجمع كنائس جبل علي ؟,في قرية جبل علي، دبي، الإمارات العربية المتحدة
ما هي الخدمة الأخر المتصلة بمجمع كنائس جبل علي؟,كلاهما متصل بالمجمع بواسطة خدمة حافلات التغذية إف 44
ما هو مجمع الكنائس جبل علي؟,هي منطقة لعدد من الكنائس والمعابد مختلفة الطوائف الدينية
ما هي أقرب محطة مترو لمجمع كنائس جبل علي؟,هي محطة مترو الطاقة على الخط الأحمر
من هو غروغو ؟,شخصية خيالية
ما هو الأسم المعروف به غروغو؟,بيبي يودا
أين ظهر غروغو لأول مرة؟,مسلسل الماندلوري
من هو مبتكر الشخصية؟,جون فافرو وديف فيلوني
ما هي شركة كالبي؟,هي شركة يابانية متخصصة في صناعة الوجبات الخفيفة والحلويات
ماذا تعتبر شركة  كالبي في اليابان؟,وتعد أحد أكبر الشركات في اليابان في هذا المجال
متى تأسست شركة كالبي؟,في عام 1949
أين يقع مقر شركة كالبي؟,يقع مقرها الرئسي في مدينة طوكيو
أين ولد سامي طه حمران؟,عرابة
متى ولد سامي طه حمران؟,عام 1913
ما الذي دفع سامي طه لترك الدراسة في نهاية الصفوف الابتدائية؟,توفي والده
ما هي الجمعية التي انضم إليها في حيفاا؟,العمال العرب الفلسطينيين في حيفا
كيف ساهمت الجمعية خلال إضراب عام 1936؟,أسست الجمعية لجاناً تولت أعمالاً تنظيمية وتقديم المعونات
ما الذي قاده للانخراط في إضراب عمالي في أبريل 1946؟,لرفضها الاعتراف بـ«الجمعية» ممثلة للعمال العرب
ما الحدث الدولي الذي حضره سامي طه في فبراير 1945؟,«مؤتمر النقابات العمالية العالمي» في لندن
متي تم أغتيال سامي طه؟,مساء 11 أيلول/ سبتمبر 1947
كيف تم أغتيال سامي طه ؟,أطلق مجهول عليه ثماني رصاصات أمام منزله في الحليصة في حيفا
ما هو مفهوم واط في الممارسات الجنسية؟,هو ممارسة الأشخاص للجنس الشرجي أو الفموي عامةً أو ممارسة الجنس مع حيوانات
هل تم تطبيق قوانين السدومية في العالم الغربي؟,لا تُطبق هذه القوانين في العالم الغربي أو أُلغي العديد منها.
"ما هو معنى الاسم ""مباركة"" في اللغة العربية؟",اسم علم مؤنث عربي
"كيف يتم كتابة اسم ""مباركة"" باللغة الإنجليزية؟",Mubarakah
"ما هي الصفات المرتبطة بالأشخاص الذين يحملون اسم ""مباركة"" وفقًا للمعنى؟",مُبَارَكَة من ينال البركة ومباركة من حلت عليها البركة الخير
"ما هو الاشتقاق اللغوي لاسم ""مباركة"" في اللغة العربية؟",علم مؤنث
"ما هو السياق الثقافي الذي يرتبط بالاسم ""مباركة"" في المدينة المنورة؟",يطلق عليها مباركة
متى وُلد علي ياسين ؟,في عام 1936
أين وُلد علي ياسين ؟,في يافا
من هوعلي ناصر محمد ياسين ؟,سياسي ودبلوماسي ولاجئ فلسطيني، كان مديرًا لمكتب منظمة التحرير الفلسطينية لدى الكويت
متي حصل  علي ناصر محمد ياسين علي درجة البكالوريوس في الحقوق؟,عام 1960
ما هو الديازوكسيد ؟,دواء يستخدم لعلاج نقص السكر في الدم
الديازوكسيد وما هي الاستخدامات الطبية الرئيسية له؟,يستخدم الديازوكسيد كموسع للأوعية في علاج ارتفاع ضغط الدم الحاد أو ارتفاع ضغط الدم الخبيث.
ما هي وظيفة فتح قناة البوتاسيوم الحساسة في البنكرياس وكيف يتأثر الأنسولين بها؟,يعمل دواء ديازوكسيد عن طريق منع إطلاق الأنسولين من البنكرياس.
ما هي الآثار الجانبية المعروفة لاستخدام الديازوكسيد؟,يستخدم ديازوكسيد لعلاج استمرار انخفاض مستويات السكر في الدم (نقص السكر في الدم) الناجمة عن إنتاج الجسم الكثير من الأنسولين (فرط الأنسولين)
ما هي وظيفة فتح قناة البوتاسيوم الحساسة في البنكرياس وكيف يتأثر الأنسولين بها؟,كما يحاول ديازوكسيد إفراز الأنسولين عن طريق فتح قناة البوتاسيوم الحساسة في البنكرياس.
ما هي قلعة سكوكلوستر؟,قلعة سويدية باروكية
متي بنيت قلعة سكوكلوستر؟,بين عامي 1654 و 1676
من قام ببناء قلعة سكوكلوستر؟,كارل غوستاف رانجيل
أين تقع قلعة سكوكلوستر؟,على شبه جزيرة بحيرة مالارين بين ستوكهولم وأوبسالا
متي أصبحت قلعة سكوكلوستر متحف حكومي ؟,السبعينيات
ما هو استخدام القلعة في الوقت الحالي؟,يعرض مجموعات من اللوحات والأثاث والمنسوجات وأدوات المائدة بالإضافة إلى الكتب والأسلحة التي تصل إلى 20000 قطعة
ما هو مفهوم نطاق الطاقة في فيزياء الجوامد؟,هو مدى متصل من قيم الطاقة التي يمكن لإلكترون أن يشغلها في الذرة
ما هي النطاقات المحرمة والمسموحة في الطاقة للإلكترونات في الذرة؟,هذه النطاقات أن تكون «نطاقات محرمة» (لا يمكن لإلكترون أن يشغلها) أو «نطاقات مسموحة» (يمكن للإلكترون أن يشغلها).
كيف يؤثر نطاق الطاقة على الخصائص الكيميائية والفيزيائية للمادة؟,من خصائصها الكيميائية والفيزيائية خاصة تلك التي تتعلق بالبنية الذرية وببنيتها البللورية وخصائصها البصرية
ما هي المواد الصلبة التي تحتوي على نطاق جزئيًا فارغ,عدد لا نهائي من مستويات الطاقة
ما هي المواد التي يكون النطاق السفلي المشغول بالكامل بالإلكترونات؟,إذا وصل إليها أي إلكترون فإنه سوف يهرب من المادة الصلبة، ولهذا فإن هذه النطاقات لا تأخذ بعين الاعتبار. لكل نطاق عرض نطاق مختلف حسب المدار الذري الذي تنتمي إليه، وقد تتراكب هذه النطاقات منتجة نطاق وحيد كبير.
ما هو نطاق التكافؤ وما هي الإلكترونات التي تشغل هذا النطاق؟,فإن هذه النطاقات لا تأخذ بعين الاعتبار. لكل نطاق عرض نطاق مختلف حسب المدار الذري الذي تنتمي إليه، وقد تتراكب هذه النطاقات منتجة نطاق وحيد كبير.
ما هو نطاق التوصيل وما هي الظروف التي تجعل الإلكترونات تتواجد فيه؟,"الشكل 1 شكل مبسط لنطاقات الطاقة في المواد الصلبة التي تعرف ثلاث أنواع من المواد، معادن وأنصاف نواقل وعوازل.
يكون للمعادن نطاق يكون جزئيا فارغ وجزئيا ممتلئ بغض النظر عن درجة الحرارة، ولهذا يكون لها ناقلية عالية."
ما الاختلاف بين المواد العازلة وأنصاف النواقل من حيث فجوة الطاقة؟,"لهذا يكون لها ناقلية عالية.
أما المواد الصلبة الأخرى (عوازل أو أنصاف نواقل) فيكون فيها النطاق السفلي المشغول بالكامل بالإلكترونات، يدعى هذه النطاق باسم """"نطاق التكافؤ"" (valance band) وتدعى الإلكترونات التي تشغل هذا النطاق باسم ""إلكترونات النقل"" (valance band)(valence electrons). أما النطاق العلوي الذي تكون في معظمه غير مشغول فيدعى"
كيف يؤثر الطاقة الحرارية على قدرة الإلكترونات على الانتقال إلى نطاق النقل؟,(بالتسخين مثلا)
كيف تعتمد ناقلية أنصاف النواقل على درجة حرارة المادة؟,(بالتسخين مثلا) عندها تقوم هذه المواد بنقل التيار الكهربائي
من هي كاثرين كريدو ؟,مُمثلة وعارضة أزياء
ما هي جنسية كاثرين كريدو؟,تنزانية
ما هي بعض الأفلام التي شاركت فيها كاثرين كريدو؟,فطومة سنة 2018 وباهاشا في نفس السنة.
"ما هو معنى ""أزرو ن تامزا""؟",اسم أمازيغي يعني في اللهجة الريفية صخرة أو جلمود الغولة
ما هي شخصية تامزا ؟,وهي شخصية ميثولوجية أسطورية نسج عنها الأمازيغ قصصا كثيرة
ما هي منطقة أكزناين ومنطقة أهروشن؟,وهي منطقة تقع في جبال الريف المعزولة
ما هو الغرض من تسمية الصخر بهذا الاسم؟,نظرا للتشابه الذي لاحظه الريفيون بين رأس الغولة والصخر حسب اعتقادهم
لماذا يعتقد الريفيون أن الموقع كان موقعا لتامزا؟,أن الموقع كان موقعا لتامزا أو على الأقل ذات علاقة معها مثل أشاشار ن تامزا
من هو الأستاذ كون وماذا لاحظ حول الصخر؟,وقد لاحظ أحد الأساتذة (الأستاذ كون) ذلك الصخر وكيفية نحته الطبيعي الذي جعل الريفيون يشبهونه ب: رأس الغولة
ما هي القصص التي نسجتها الأمازيغ حول شخصية تامزا؟,وهي، أي تامزا، امرأة بشعة المنظر وهي من آكلة لحوم البشر وتتميز بدهائها ومكائدها للإيقاع بضحاياها.
من هو إلياس كانيتي؟,هو روائي وكاتب مسرحي وباحث ألماني عاش من 25 يوليو 1905 إلى 14 أغسطس 1994.
ما هي الجائزة التي حصل عليها إلياس كانيتي سنة 1981؟,حصل على جائزة نوبل للأداب سنة 1981
في أي بلد ولد إلياس كانيتي؟,في 25 يوليو سنة 1905م في مدينة روستشوك
ما هو تحقيق إلياس كانيتي في الدراسة؟,حصل على الشهادة الثانوية، وبدأ في نفس السنة دراسة الكيمياء في جامعة فيينا. وفي سنة 1929م أثم دراسته بنيله
ما هي الرواية الأولى التي كتبها إلياس كانيتي؟,الإعدام حرقا
أين استقر إلياس كانيتي بعد تزوجه؟,في لندن
ما هو عنوان كتاب إلياس كانيتي الذي ظهر بعد زيارته لمراكش؟,أصوات مراكش
ما هو عنوان دراسة أنثربولوجية مطولة كتبها إلياس كانيتي؟,دراسة أنثربولوجية مطولة أسماها الجماهير والسلطة وظهرت ككتاب عام 1960
متى ظهرت سيرة إلياس كانيتي الذاتية ومنذ متى تكونت؟,ظهر الجزء الأول منها سنة 1977م والجزء الأخير سنة 1985
ما هي اللغة التي كان يكتب بها إلياس كانيتي؟,اللغة الألمانية
ما هي بطاقة الهوية الهولندية ومن يمكن أن يحملها؟,وثيقة هوية رسمية غير إلزامية صادرة للمواطنين الهولنديين في الجزء الأوروبي من هولندا وبعض البعثات الدبلوماسية.
ما هي الاستخدامات الرئيسية لبطاقة الهوية الهولندية؟,يُطلب من جميع المواطنين الهولنديين الذين تتراوح أعمارهم بين 14 عاماً أن يكونوا قادرين على إبراز وثيقة هوية صالحة عندما تطلب الشرطة أو ضباط إنفاذ القانون الآخرون إثبات هويتهم. تُستخدم بطاقة الهوية بشكل شائع لهذا الغرض
لماذا تم تضمين شريحة إلكترونية في بطاقات الهوية الهولندية؟,تم تضمين الشريحة بسبب اللوائح الأوروبية.
ما هي صلاحية بطاقة الهوية الهولندية في الاتحاد الأوروبي وتركيا؟,"إلى ""الاتفاقية الأوروبية بشأن اللوائح التي تحكم حركة الأشخاص بين الدول الأعضاء في مجلس أوروبا"""
كم مدة صلاحية بطاقة الهوية الهولندية للبالغين وللقصر؟,صالحة لمدة 10 سنوات للبالغين و 5 سنوات للقصر
ما هي المعلومات الموجودة في بطاقة الهوية الهولندية؟,عنوان حاملها وتحتوي على حقول باللغات الإنجليزية والهولندية والفرنسية.
أين يمكن استخدام بطاقة الهوية الهولندية كوثيقة سفر؟,لـ 11 من أصل 12 دولة من دول الاتحاد الأوروبي
ما هو مركز لعب سكوت تينان في كرة القدم؟,مركز حراسة المرمى
متى ولد سكوت تينان؟,ولد في 27 نوفمبر 1983
في أي مدينة ولد سكوت تينان؟,ليفربول
ما هو اسم اللاعب البريطاني الذي يلعب في مركز حراسة المرمى؟,سكوت تينان
ما هو اسم هشام بن سالم في التراجم الشيعية؟,هشام بن سالم مولى بشر بن مروان الجواليقي الجعفي
كم عدد الموردات التي ورد ذكرها لهشام بن سالم في تراجم الشيعة؟,ستمائة وثلاثة وستين موردا
متى توفي هشام بن سالم؟,سنة 183 هـ
ما هو اسم كتاب الشيخ الطوسي الذي يذكر هشام بن سالم فيه؟,«مولاهم، كوفي»
ما هي الأقوال المنسوبة إلى هشام بن سالم من قبل بعض علماء أهل السنة؟,من المشبهة وتنسب إليه فرقة الهاشمية
ما هي الكواكب السيارة؟,هو الاسم القديم للكواكب التي ترى من الأرض متجولة بين النجوم
"لماذا سميت الكواكب المتحركة بـ ""الكواكب السيارة""؟",لأن العرب القدماء كانوا يُسمون كل النقاط اللامعة في السماء بـ«الكواكب»
لماذا اعتبر المشتري والزهرة أهمية خاصة عند العرب؟,أخذ اسمه لأنه اشترى العظمة لنفسه. وقد كان للمشتري والزهرة أهمية خاصة عندهم للمعانهما الشديد.
كم عدد الكواكب السيارة في جهازنا الشمسي قبل عام 2006؟,تسعة كواكب
في أي عام تم تعديل شروط تعريف الجسم الفلكي باسم كوكب؟,في عام 2006
لماذا تم سحب لقب كوكب من بلوتو؟,لكونه جسم صغير
كم عدد الكواكب السيارة في جهازنا الشمسي بعد عام 2006؟,ثمانية كواكب
متى ولد ماركوس باتيلاينن؟,في 23 يناير 1983
في أي مركز يلعب ماركوس باتيلاينن في كرة القدم؟,في مركز الوسط،
ما هي الفرق التي لعب ماركوس باتيلاينن معها في مسيرته الرياضية؟,مع نادي أبردين ونادي إنفرنيس ونادي كاودينبيث ونادي ماريهامن وهونكا
اين ولد ماركوس باتيلاينن؟,في فالكياكوسكي في فنلندا
من هو  ماركوس باتيلاينن؟,هو لاعب كرة قدم فنلندي في مركز الوسط، ولد في 23 يناير 1983
"ما هو المعنى اللغوي لكلمة ""البيئة""؟",هي لفظة شائعة الاستخدام يرتبط مدلولها بنمط العلاقة بينها وبين مستخدمها
ما هي العلاقة بين البيئة والمستخدم؟,شائعة الاستخدام يرتبط مدلولها بنمط العلاقة بينها وبين مستخدمها فنقول:- البيئة الزراعية، والبيئة الصناعية، والبيئة الصحية، والبيئة الاجتماعية والبيئة الثقافية، والسياسية
ما هي النشاطات البشرية المرتبطة بالبيئة؟,يعني ذلك علاقة النشاطات البشرية المتعلقة بهذه المجالات
ما هو التعريف اللغوي للبيئة في المجالات المختلفة مثل الزراعة والصناعة والصحة والاجتماع والثقافة والسياسة؟,اللغة مشتقة من الفعل (بوأ) و (تبوأ) أي نزل وأقام. والتبوء: التمكن والاستقرار والبيئة
ما هو المفهوم الشامل للبيئة؟,من ثم يجب أن تنال البيئة بمفهومها الشامل اهتمام الفرد كما ينال بيته ومنزله اهتمامه وحرصه.
"ما هي المجالات التي يغلب عند سماع كلمة ""البيئة"" أن المقصود بها هي البيئة الطبيعية؟",تحديد مفهوم البيئة العلمي، إلى العلماء العاملين في مجال العلوم الحيوية والطبيعية، فيرى البعض أن للبيئة مفهومان يكمل بعضهما البعض، أولهما «البيئة الحيوية
ما هو مفهوم البيئة العلمي؟,هي مجموع العوامل الطبيعية والبيولوجية والعوامل الاجتماعية والثقافية والاقتصادية
ما هي البيئة الحيوية ؟,هو كل ما يختص بحياة الإنسان نفسه من تكاثر ووراثة فحسب
ما هي البيئة الطبيعية أو الفيزيقية؟,هذه تشمل موارد المياه وتربة الأرض والجو ونقاوته أو تلوثه
كيف يمكن تعريف البيئة باعتبار الإنسان جزءًا فاعلًا منها؟,على الإنسان باعتباره أحد مكونات البيئة الفاعلة، فيعرف البيئة بأنها كل مكونات الوسط الذي يتفاعل معه الإنسان مؤثراً ومتأثراً،
ما هو التعريف المركب للبيئة؟,يتفاعل معه الإنسان مؤثراً ومتأثراً، أو هي الإطار الذي يعيش فيه الإنسان ويحصل منه على مقومات حياته
ما هي بحيرة طبريا؟,هي بحيرة عذبة المياه تقع بين منطقة الجليل في شمال فلسطين وهضبة الجولان
أين تقع بحيرة طبريا ؟,تقع بين منطقة الجليل في شمال فلسطين وهضبة الجولان التين تحتلهما إسرائيل، على الجزء الشمالي من مسار نهر الأردن.
ما هي أقصى عمق في بحيرة طبريا؟,يصل إلى 46 متر.
من أين تنبع مياه بحيرة طبريا؟,من الينابيع التي تتجمع بدورها لتكون نهر الأردن.
ما هي مصادر اسم بحيرة طبريا؟,(طيباريوس) قائد جيش روماني طبريا إذ كانت أكبر بلد يقع على سواحل البحيرة (بحيرة طبرية)
ما هو اسم البحيرة في اللغة العبرية الحديثة ؟,يرد هذا الاسم بالعبرية أو بالآرامية في موارد يهودية مثل الميشناه والتلمود
هل سوريا لديها حق استغلال بحيرة طبريا؟,"منحت سورية الحق في استغلال بحيرة طبرية في مجالي الملاحة والصيد، وقد مارست سوريا هذا الحق ما بين
عامي 1948-1967"
ما معنى اسم بحيرة طبرية بالعربية؟,يشير إلى (طيباريوس) قائد جيش روماني طبريا إذ كانت أكبر بلد يقع على سواحل البحيرة
